CPINGsample#,Species,Collector ,Locallity,Country,County,State,Date_Collection,Date_Extracted,Initials,LAT,LONG,Extracted,DNA_Con_ng/ul,
138,T. repens,Whitehouse,Angelina Co; 3 mi E of Huntingdon,USA,NTF,Texas,3/24/1950,12/20/2020,NK,,,,8.9,
139,T. repens,Wallis,"Sequoyah Co.; Illinois River Valley, 1 mi SE of Gore on US 64",USA,NTF,Oklahoma,5/6/1959,12/20/2020,NK,,,,35.4,
140,T. repens,Thompson,Litchfield,USA,NTF,Connecticut,6//1904,12/20/2020,NK,,,,11.3,
141,T. repens,Thomas,Washington Co.; Washington Co. Fairgrounds stockyards,USA,NTF,Arkansas,5/20/2000,12/20/2020,NK,,,,TL,
142,T. repens,Ware,"Transylvania Co.; P.O. Sapphire, Thompson River Gorge",USA,NTF,North Carolina,5/14/1970,12/20/2020,NK,,,,28,
143,T. repens,Kral,Lincoln Parish; N side of Ruston,USA,NTF,Louisiana,5/8/1963,12/20/2020,NK,,,,15.4,
144,T. repens,Lowne,East Wickham,UK,NTF,Kent,7/4/1908,12/20/2020,NK,,,,17.9,
145,T. repens,Jensen,Jutland; NW of Aarhus,Denmark,NTF,Denmark,6/14/1968,12/20/2020,NK,,,,TL,
146,T. repens,Kelly,"Williamson Co.; Pine Hill Lake, lesss than one mile E of Leipers Fork Rd.",USA,NTF,Tennessee,7/7/1987,12/20/2020,NK,,,,2.9,
147,T. repens,Buckheimer,Montgomery Co.; 0.5 mi W of Pottstown,USA,NTF,Pennsylvania,5/21/1944,12/20/2020,NK,,,,45.1,
148,T. repens,Skean,Wake Co.; Camp Durant,USA,NTF,North Carolina,4/21/1981,12/20/2020,NK,,,,TL,
149,T. repens,Swab,"Chatham Co. ""the old house""",USA,NTF,North Carolina,5/9/1988,12/20/2020,NK,,,,33.4,
150,T. repens,Moldenke,Somerset Co.; Watchung,USA,NTF,New Jersey,8/1/1943,12/20/2020,NK,,,,23.9,
151,T. repens,Carter,"Bryan Co.; Ft. Stewart Military Reservation, 0.55 mi W of Richmond Hill city limit",USA,NTF,Georgia,6/25/1992,12/20/2020,NK,,,,17.9,
152,T. repens,Smith,"Island Co.; Whidbey Island, Deception Pass State Park",USA,NTF,Washington,6/13/1936,12/20/2020,NK,,,,45.5,
153,T. repens,Nelson,"Richland Co.; Fort Jackson Army Installation, MacGruder St.",USA,NTF,South Carolina,2/16/1992,12/20/2020,NK,,,,23.4,
154,T. repens,Anderson 1936,Macon Co.; Highlands,USA,NTF,North Carolina,8/24/1910,12/20/2020,NK,,,,26.1,
155,T. repens,Brooks  10087,"Green, 2 mi S",United States,Clay,Kansas,6/4/1975,12/20/2020,NK,,,,2.31,
156,T. repens,Brooks 9790,"Solomon, 8 mi N",United States,Dickinson,Kansas,6/2/1975,12/20/2020,NK,,,,12.4,
157,T. repens,Stephens 65133,La Crosse City Park,United States,Rush,Kansas,6/2/1973,12/20/2020,NK,,,,7.52,
158,T. repens,Stephens 6109,"Keystone, 10 mi SE on US 16A (Keystone in Pennington County)",United States,Custer,South Dakota,6/29/1966,12/20/2020,NK,,,,5.1,
159,T. repens,Taylor 19371,"Fairbanks, 11 mi E at the jct Badger Road and Peede Road along Chena River slough",United States,,Alaska,7/9/1975,12/20/2020,NK,,,,3.91,
160,T. repens,Stephens 86551,NE edge of Oakley,United States,Logan,Kansas,7/19/1975,12/20/2020,NK,,,,12.4,
161,T. repens,Kuhn 295,"Welda, 0.75 mi N, 1.5 mi E",United States,Anderson,Kansas,5/11/2006,12/20/2020,NK,,,,7.3,
162,T. repens,Kral 90757,"AL 52, NE side of Geneva",United States,Geneva,Alabama,4/14/2001,12/20/2020,NK,,,,25.5,
163,T. repens,stephens 85067,"McPherson, 1 mi N",United States,McPherson,Kansas,6/11/1975,12/20/2020,NK,,,,25,
164,T. repens,stephens 85849,Chase,United States,"Cottonwood Falls, 0.25 mi N",Kansas,6/28/1975,12/20/2020,NK,,,,16,
165,T. repens,Morley 106,"Belleville, N of the 2200 block on 15th Street",United States,Republic,Kansas,6/6/1960,12/20/2020,NK,,,,14.8,
166,T. repens,Freeman 25114,"Oakley, E side of town in Annie Oakley City Park",United States,Logan,Kansas,6/7/2014,12/20/2020,NK,,,,4.06,
167,T. repens,John W Moore; Marjorie F Moore 10206,"South St Paul, 0.25 mi W of 5th Avenue and just S of Church Street",United States,Dakota,Minnesota,6/26/1938,12/20/2020,NK,,,,29.2,
